---config@码表分类=主码-3
---config@码表别名=三级简码
塬	fdr#序55000
堪	fdw#序55000
垅	fdx#序55000
堋	fee#序55000
埒	fef#序55000
霾	fej#序55000
霓	feq#序55000
坛	ffc#序55000
填	ffh#序55000
款	ffi#序55000
雩	ffn#序55000
堵	fft#序55000
墙	ffu#序55000
垤	fgc#序55000
圩	fgf#序55000
士	fgh#序55000
垣	fgj#序55000
塥	fgk#序55000
垭	fgo#序55000
坪	fgu#序55000
越	fha#序55000
趣	fhb#序55000
霏	fhd#序55000
趄	fhe#序55000
矗	fhf#序55000
赴	fhh#序55000
趟	fhi#序55000
坫	fhk#序55000
盐	fhl#序55000
起	fhn#序55000
墟	fho#序55000
趋	fhq#序55000
赵	fhr#序55000
趱	fht#序55000
超	fhv#序55000
真	fhw#序55000
霄	fie#序55000
霈	fig#序55000
墚	fiv#序55000
戟	fja#序55000
朝	fje#序55000
埋	fjf#序55000
坦	fjg#序55000
坤	fjh#序55000
墁	fjl#序55000
塌	fjn#序55000
进	fjp#序55000
埸	fjq#序55000
乾	fjt#序55000
翰	fjw#序55000
颉	fkd#序55000
袁	fke#序55000
埕	fkg#序55000
酃	fkk#序55000
埚	fkm#序55000
喜	fku#序55000
塄	fly#序55000
垌	fmg#序55000
垲	fmn#序55000
献	fmu#序55000
韦	fnh#序55000
墀	fni#序55000
霹	fnk#序55000
卖	fnu#序55000
块	fnw#序55000
坭	fnx#序55000
专	fny#序55000
郝	fob#序55000
赫	fof#序55000
塘	fov#序55000
勃	fpb#序55000
垸	fpf#序55000
壹	fpg#序55000
毂	fpl#序55000
壶	fpo#序55000
壳	fpw#序55000
索	fpx#序55000
坻	fqa#序55000
顽	fqd#序55000
鼋	fqk#序55000
雹	fqn#序55000
远	fqp#序55000
均	fqu#序55000
坎	fqw#序55000
坂	frc#序55000
埤	frt#序55000
坼	fry#序55000
耢	fsa#序55000
耔	fsb#序55000
耙	fsc#序55000
耨	fsd#序55000
耗	fse#序55000
博	fsf#序55000
霜	fsh#序55000
耦	fsj#序55000
坷	fsk#序55000
耜	fsn#序55000
耱	fso#序55000
霖	fss#序55000
耠	fsw#序55000
孝	ftb#序55000
嫠	ftd#序55000
雾	fte#序55000
霆	ftf#序55000
考	ftg#序55000
埏	fth#序55000
者	ftj#序55000
垧	ftm#序55000
埠	ftn#序55000
老	ftx#序55000
丧	fue#序55000
幸	fuf#序55000
境	fuj#序55000
培	fuk#序55000
啬	ful#序55000
霎	fuv#序55000
埭	fvi#序55000
埽	fvp#序55000
逵	fwf#序55000
堠	fwn#序55000
垛	fws#序55000
赍	fww#序55000
堆	fwy#序55000
墩	fyb#序55000
霁	fyj#序55000
壤	fyk#序55000
垓	fyn#序55000
壕	fyp#序55000
垴	fyr#序55000
坑	fyw#序55000
邢	gab#序55000
形	gae#序55000
武	gah#序55000
瑾	gak#序55000
盏	gal#序55000
瑛	gam#序55000
珙	gaw#序55000
屯	gbn#序55000
至	gcf#序55000
玛	gcg#序55000
瑚	gde#序55000
环	gdh#序55000
蚕	gdj#序55000
吞	gdk#序55000
顼	gdm#序55000
忝	gdn#序55000
琦	gds#序55000
琪	gdw#序55000
珑	gdx#序55000
瑗	geg#序55000
珈	gek#序55000
靓	gem#序55000
逐	gep#序55000
静	geq#序55000
瑶	get#序55000
珐	gfc#序55000
盂	gfl#序55000
玮	gfn#序55000
迂	gfp#序55000
玩	gfq#序55000
琶	ggc#序55000
琢	gge#序55000
王	ggg#序55000
球	ggi#序55000
替	ggj#序55000
辇	ggl#序55000
瑟	ggn#序55000
琴	ggw#序55000
琵	ggx#序55000
珏	ggy#序55000
焉	ghg#序55000
玷	ghk#序55000
忑	ghn#序55000
璨	ghq#序55000
政	ght#序55000
琥	ghw#序55000
琐	gim#序55000
裘	giy#序55000
亘	gjg#序55000
惠	gjh#序55000
更	gjr#序55000
琨	gjx#序55000
囊	gkh#序55000
副	gkl#序55000
融	gkm#序55000
带	gkp#序55000
吏	gkr#序55000
豆	gku#序55000
琏	glp#序55000
遭	gma#序55000
瑞	gmd#序55000
再	gmf#序55000
珊	gmm#序55000
规	gmq#序55000
丙	gmw#序55000
丽	gmy#序55000
珉	gna#序55000
琚	gnd#序55000
欤	gng#序55000
瑕	gnh#序55000
瓦	gnn#序55000
垩	gof#序55000
晋	goj#序55000
恶	gon#序55000
琰	goo#序55000
严	got#序55000
璞	gou#序55000
瑭	gov#序55000
琮	gpf#序55000
珲	gpl#序55000
琬	gpq#序55000
殛	gqb#序55000
殆	gqc#序55000
殍	gqe#序55000
殖	gqf#序55000
残	gqg#序55000
列	gqj#序55000
趸	gqk#序55000
殃	gqm#序55000
迈	gqp#序55000
殉	gqq#序55000
殊	gqt#序55000
殚	gqu#序55000
殁	gqw#序55000
死	gqx#序55000
玖	gqy#序55000
碧	grd#序55000
瑰	grq#序55000
珂	gsk#序55000
琳	gss#序55000
珠	gtf#序55000
珩	gtg#序55000
珞	gtk#序55000
璁	gtl#序55000
夹	gud#序55000
平	guf#序55000
璋	guj#序55000
赉	gus#序55000
瑙	gvt#序55000
玳	gwa#序55000
瑜	gwg#序55000
玢	gwv#序55000
玲	gwy#序55000
纛	gxh#序55000
素	gxi#序55000
夷	gxw#序55000
琉	gyc#序55000
斑	gyg#序55000
琼	gyi#序55000
璃	gyr#序55000
班	gyt#序55000
琅	gyv#序55000
虐	hag#序55000
瞄	hal#序55000
眍	har#序55000
眙	hck#序55000
睃	hcw#序55000
睚	hdf#序55000
悲	hdh#序55000
瞍	heh#序55000
瞬	hep#序55000
睨	heq#序55000
睬	hes#序55000
歧	hfc#序55000
眭	hff#序55000
睹	hft#序55000
盹	hgb#序55000
遽	hge#序55000
盱	hgf#序55000
凸	hgh#序55000
睐	hgu#序55000
睫	hgv#序55000
频	hhd#序55000
止	hhg#序55000
目	hhh#序55000
丨	hhl#序55000
矍	hhw#序55000
眦	hhx#序55000
督	hic#序55000
瞠	hip#序55000
眇	hit#序55000
